id,vehicle_id,violation_date,violation_location,violation_type,violation_description,fine_amount,points_deduction,handing_status,created_at,updated_at
24de1527e43d11efb9dead30f1df9c0c,24de1528e43d11ef81bead30f1df9c0c,2021-11-01,王路梧州路N座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24de1529e43d11efa34fad30f1df9c0c,24de3c2ce43d11ef8ca2ad30f1df9c0c,2024-01-21,彭街吕路F座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
24de3c2de43d11ef9accad30f1df9c0c,24de3c2ee43d11ef9b2aad30f1df9c0c,2014-05-13,樊街甄街a座,超速,违章描述,100元,3分,已处理,2025-02-06 11:47:53,
24de3c2fe43d11ef82baad30f1df9c0c,24de3c30e43d11efa7fbad30f1df9c0c,2023-06-17,余街叶路i座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
250154b9e43d11ef9c76ad30f1df9c0c,250154bae43d11ef902cad30f1df9c0c,2022-09-03,沈阳街杭州路W座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
250154bbe43d11efb04ead30f1df9c0c,250154bce43d11efb273ad30f1df9c0c,2012-02-10,香港路方路z座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
25017bcfe43d11ef842bad30f1df9c0c,25017bd0e43d11efb01aad30f1df9c0c,2019-08-05,银川路乌鲁木齐路h座,超速,违章描述,100元,3分,未处理,2025-02-06 11:47:53,
25017bd1e43d11efaab8ad30f1df9c0c,25017bd2e43d11efaed8ad30f1df9c0c,2020-05-23,王路梧州路N座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
25017bd3e43d11efbc37ad30f1df9c0c,25017bd4e43d11efa066ad30f1df9c0c,2006-12-07,段街沈街o座,闯红灯,违章描述,200元,6分,已处理,2025-02-06 11:47:53,
25017bdbe43d11efb4e7ad30f1df9c0c,25017bdce43d11efb596ad30f1df9c0c,2022-10-08,张路马鞍山街b座,超速,违章描述,100元,3分,未处理,2025-02-06 11:47:53,
2501a2d7e43d11efb078ad30f1df9c0c,2501a2d8e43d11ef9a90ad30f1df9c0c,2025-03-18,宜都路长春街V座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
2501a2d9e43d11ef8c5dad30f1df9c0c,2501a2dae43d11efb531ad30f1df9c0c,2012-12-28,余街叶路i座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
2501a2dde43d11ef868aad30f1df9c0c,2501a2dee43d11efacadad30f1df9c0c,2020-04-01,张街陈路Z座,闯红灯,违章描述,200元,6分,已处理,2025-02-06 11:47:53,
2501a2e3e43d11efa0f0ad30f1df9c0c,2501c9e1e43d11efba17ad30f1df9c0c,2017-08-02,蒋街张街q座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
2501c9e4e43d11ef8994ad30f1df9c0c,2501c9e5e43d11ef8b80ad30f1df9c0c,2015-06-03,姜街兴城街E座,无证驾驶,违章描述,500元,12分,未处理,2025-02-06 11:47:53,
2501c9e6e43d11efa05bad30f1df9c0c,2501c9e7e43d11ef8625ad30f1df9c0c,2019-01-13,时街蒋街g座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
2501c9eee43d11efb6e0ad30f1df9c0c,2501c9efe43d11efb3f8ad30f1df9c0c,2016-04-20,兰州路淮安路G座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
2501f0eee43d11ef8a39ad30f1df9c0c,2501f0efe43d11ef98ffad30f1df9c0c,2022-01-02,段街沈街o座,无证驾驶,违章描述,500元,12分,未处理,2025-02-06 11:47:53,
2501f0f0e43d11efb4fdad30f1df9c0c,2501f0f1e43d11ef9eeaad30f1df9c0c,2025-11-28,曹路哈尔滨街J座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
2501f0f4e43d11ef9f22ad30f1df9c0c,2501f0f5e43d11efb947ad30f1df9c0c,2023-09-13,张街陈路Z座,无证驾驶,违章描述,500元,12分,未处理,2025-02-06 11:47:53,
2501f0f8e43d11ef9d29ad30f1df9c0c,2501f0f9e43d11efb78bad30f1df9c0c,2020-08-10,余街叶路i座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
2501f0fae43d11ef99b3ad30f1df9c0c,2501f0fbe43d11ef82afad30f1df9c0c,2015-04-20,潮州街辽阳街V座,无证驾驶,违章描述,500元,12分,已处理,2025-02-06 11:47:53,
25021804e43d11ef8398ad30f1df9c0c,25021805e43d11ef9fa3ad30f1df9c0c,2009-10-09,昆明街太原路K座,闯红灯,违章描述,200元,6分,未处理,2025-02-06 11:47:53,
25021808e43d11efb674ad30f1df9c0c,25021809e43d11ef920ead30f1df9c0c,2020-02-01,香港路方路z座,酒驾,违章描述,1000元,12分,未处理,2025-02-06 11:47:53,
2502180ce43d11ef9e1fad30f1df9c0c,2502180de43d11efa706ad30f1df9c0c,2025-05-13,宜都路长春街V座,酒驾,违章描述,1000元,12分,已处理,2025-02-06 11:47:53,
2502180ee43d11efb5ebad30f1df9c0c,25023f0fe43d11ef8073ad30f1df9c0c,2021-11-20,时街蒋街g座,违章停车,违章描述,50元,2分,已处理,2025-02-06 11:47:53,
